ZONE,EGGS
Mussel,11
Mussel, 8
Mussel,18
Mussel,10
Mussel, 9
Mussel,13
Mussel,15
Mussel,12
Mussel, 9
Mussel,15
Mussel,11
Mussel,13
Mussel,10
Mussel,13
Mussel, 9
Mussel,10
Mussel,11
Mussel,11
Mussel,12
Mussel,12
Mussel, 8
Mussel,11
Mussel,14
Mussel,11
Mussel,12
Mussel,11
Mussel, 8
Mussel, 9
Mussel,13
Mussel, 9
Mussel,11
Mussel,13
Mussel,13
Mussel,10
Mussel,10
Mussel,12
Mussel, 9
Mussel, 9
Mussel,10
Mussel,11
Mussel,14
Mussel,17
Littor, 9
Littor, 8
Littor,12
Littor, 9
Littor,11
Littor,11
Littor,10
Littor, 5
Littor, 7
Littor, 9
Littor,10
Littor, 9
Littor, 6
Littor,12
Littor,11
Littor, 8
Littor, 7
Littor, 7
Littor, 9
Littor, 8
Littor, 9
Littor, 8
Littor,13
Littor, 8
Littor,11
Littor, 7
Littor, 7
Littor, 6
Littor, 8
Littor, 5
Littor, 9
Littor, 9
Littor, 6
Littor, 9
Littor,12
Littor,10
Littor, 7
