SITE,ZONE,LIMPT,LIMPT100,SQLIM100
A,SZ(-TR),0.16,16,4.000
A,SZ(-TR),0.11,11,3.317
A,SZ(-TR),0.10,10,3.162
A,SZ(-TR),0.16,16,4.000
A,SZ(-TR),0.15,15,3.873
A,SZ(+TR),0.12,12,3.464
A,SZ(+TR),0.00, 0,0.000
A,SZ(+TR),0.03, 3,1.732
A,SZ(+TR),0.05, 5,2.236
A,SZ(+TR),0.43,43,6.557
A,MZ,0.00, 0,0.000
A,MZ,0.00, 0,0.000
A,MZ,0.17,17,4.123
A,MZ,0.00, 0,0.000
A,MZ,0.00, 0,0.000
A,LZ,0.00, 0,0.000
A,LZ,0.00, 0,0.000
A,LZ,0.00, 0,0.000
A,LZ,0.00, 0,0.000
A,LZ,0.33,33,5.745
B,SZ(-TR),0.10,10,3.162
B,SZ(-TR),0.12,12,3.464
B,SZ(-TR),0.17,17,4.123
B,SZ(-TR),0.08, 8,2.828
B,SZ(-TR),0.08, 8,2.828
B,SZ(+TR),0.14,14,3.742
B,SZ(+TR),0.16,16,4.000
B,SZ(+TR),0.07, 7,2.646
B,SZ(+TR),0.15,15,3.873
B,SZ(+TR),0.02, 2,1.414
B,MZ,0.00, 0,0.000
B,MZ,0.25,25,5.000
B,MZ,0.50,50,7.071
B,MZ,0.17,17,4.123
B,MZ,0.50,50,7.071
B,LZ,0.00, 0,0.000
B,LZ,0.00, 0,0.000
B,LZ,0.08, 8,2.828
B,LZ,0.00, 0,0.000
B,LZ,0.00, 0,0.000
