BLOCK,BLCK,YEAR,CALLS,CALLSNA,CALLSSU,RESID1,PREDICT1
logging,1,1,  4,4,  4.00,-2.8888889,  6.8888889
angove,2,1,-10,-10,-10.00,-2.8888889, -7.1111111
newpipe,3,1,-15,-15,-15.00,-0.8888889,-14.1111111
oldquinE,4,1,-14,-14,-14.00, 1.1111111,-15.1111111
newquinW,5,1, -4,-4, -4.00, 1.4444444, -5.4444444
newquinE,6,1,  0,0,  0.00, 4.1111111, -4.1111111
logging,1,2, 17,17, 17.00, 2.6111111, 14.3888889
angove,2,2, -1,-1, -1.00,-1.3888889,  0.3888889
newpipe,3,2,-10,., -3.98,-3.3888889, -6.6111111
oldquinE,4,2,-11,-11,-11.00,-3.3888889, -7.6111111
newquinW,5,2,  6,6,  6.00, 3.9444444,  2.0555556
newquinE,6,2,  5,5,  5.00, 1.6111111,  3.3888889
logging,1,3, 18,18, 18.00, 0.2777778, 17.7222222
angove,2,3,  8,8,  8.00, 4.2777778,  3.7222222
newpipe,3,3,  1,1,  1.00, 4.2777778, -3.2777778
oldquinE,4,3, -2,-2, -2.00, 2.2777778, -4.2777778
newquinW,5,3,  0,0,  0.00,-5.3888889,  5.3888889
newquinE,6,3,  1,1,  1.00,-5.7222222,  6.7222222
