STREAM,N,DO2
Santa Cruz  ,29.9,180.4
Colgate     ,30.3,108.8
Halsey      ,33.0,104.7
Batavia Hill,28.3, 84.5
Windham Ridg,17.6, 82.4
Silver Sprin,30.8, 86.6
Little Timbe,32.8, 91.9
Hunter      ,37.1, 39.1
West Kill   ,26.0, 66.6
Mill        ,39.8, 59.3
Kelly Hollow,40.8, 51.3
Pigeon      ,28.0, 93.7
Biscuit     ,25.8, 83.5
Winnisook   ,23.7,107.8
Fall        ,23.3, 70.1
Bear Hole   ,30.7, 67.4
Buttermilk F,40.6,104.4
Rondout     ,26.5, 61.2
Kanape      ,16.7, 40.2
Woodland Val,25.3, 44.1
Broadst Holl,27.1, 70.8
Pecoy       ,31.9, 84.9
Prediger    ,24.9, 85.1
Bear Pen    ,30.8, 99.5
Weaver      ,24.0, 66.1
BWS6        ,10.9, 51.3
Halcott     ,27.6, 66.8
Tonshi      , 8.3, 82.4
Grog Kill   ,10.5, 58.9
Hollow Tree ,40.4, 42.7
Lost Clove  ,28.4, 45.4
Black       ,36.0, 49.5
Styles      ,37.7, 83.3
Warners     ,25.3, 65.4
Kittle      ,36.4, 66.2
Traver Hollo,21.3, 57.5
Willowemoc  ,22.8, 42.7
Myrtle      ,22.3, 42.9
Becker Hollo,30.0, 55.8
