SLA,N,AMASS,AAREA,GS,LSLA
144.6,24.7,252.2,17.7,2272,2.16016829295851
114.3,17.9,159.3,13.8,889,2.05804623039528
126.4,16.5,115.5,9.1,597,2.10174707394637
105.4,16.4,140.4,12.8,975,2.02284061087653
78.1,16.9,111.5,14,1707,1.8926510338773
129.9,15.1,99,7.8,300,2.11360915107303
103.1,18.4,65,6.4,479,2.01325866528352
90.3,15.9,91.8,10.3,1009,1.95568775031351
82.8,6.8,46.5,5.6,490,1.91803033678488
75.2,7.8,47.2,6.2,693,1.87621784059164
86.6,8.6,34.7,4,321,1.93751789201735
82.6,10.7,52.2,6.5,411,1.91698004732038
82,17.7,67.2,8.2,381,1.91381385238372
67.8,9.3,38.8,5.7,241,1.83122969386706
76.8,15,44.9,5.9,329,1.88536122003151
67.3,13,53.8,8,378,1.82801506422398
NA,15.2,55.1,NA,209,NA
95.1,12.5,35.1,3.7,173,1.97818051693741
72.1,21.4,47.7,6.7,235,1.85793526471943
58.4,10.8,43.3,7.4,298,1.7664128471124
55.3,8,NA,NA,NA,1.7427251313047
58.1,10.3,33,5.7,274,1.76417613239033
