AREA,SPECIES,INDIV,LAREA,LSPECIES,LINDIV,RESID1,PREDICT1,RESID2,PREDICT2,RESID3,PREDICT3,RESID4,PREDICT4
516,3,18,2.71264970162721,0.477121254719662,1.25527250510331,-7.19636309692717,10.1963630969272,-0.296087244808144,0.773208499527806,-166.608317944447,184.608317944447,-0.433547384240728,1.68881988934404
469.06,7,60,2.67122839922309,0.845098040014257,1.77815125038364,-3.16541577209953,10.1654157720995,0.0878712131815452,0.757226826832712,-122.918638415907,182.918638415907,0.123914654355805,1.65423659602784
462.25,6,57,2.66487691983121,0.778151250383644,1.75587485567249,-4.16092597060665,10.1609259706066,0.0233750288887437,0.7547762214949,-125.673501696918,182.673501696918,0.106941209142913,1.64893364652958
938.6,8,100,2.97248054987648,0.903089986991944,2,-2.47498132172811,10.4749813217281,0.0296303767604241,0.87345961023152,-99.8204732226972,199.820473222697,0.094243271009283,1.90575672899072
1357.15,10,48,3.13262785102901,1,1.68124123737559,-0.750929400266767,10.7509294002668,0.0647504024558824,0.935249597544118,-166.886842346482,214.886842346482,-0.358224978475774,2.03946621585136
1773.66,9,118,3.24887037182281,0.954242509439325,2.07188200730613,-2.02553251624368,11.0255325162437,-0.0258571969317423,0.980099706371067,-111.879778444315,229.879778444315,-0.0646369074972044,2.13651891480333
1686.01,10,148,3.22686014616769,1,2.17026171539496,-0.96774527676473,10.9677452767647,0.0283925476612499,0.97160745233875,-78.724678089041,226.724678089041,0.0521194822893722,2.11814223310559
1786.29,11,214,3.25195196696895,1.04139268515823,2.33041377334919,-0.0338594168097814,11.0338594168098,0.0601040001180737,0.981288685040156,-16.3344152667573,230.334415266757,0.191321986554025,2.13909178679517
3090.07,16,225,3.48996831769972,1.20411998265592,2.35218251811136,4.10656446125227,11.8934355387477,0.130996922724628,1.07312305993129,-52.2660380984584,277.266038098458,0.0143671568842807,2.33781536122708
3980.12,9,283,3.59989616618228,0.954242509439325,2.45178643552429,-3.48024138584684,12.4802413858468,-0.161294255338415,1.11553676477774,-26.3047953284785,309.304795328478,0.0221905940361121,2.42959584148818
4424.84,13,380,3.64589757144664,1.11394335230684,2.57978359661681,0.226556775692499,12.7734432243075,-0.0193422363798284,1.13328558868667,54.686805013823,325.313194986177,0.111780462289473,2.46800313432734
4451.68,14,278,3.64852393840548,1.14612803567824,2.44404479591808,1.20886128787031,12.7911387121297,0.0118291100205639,1.13429892565768,-48.2793432295945,326.279343229594,-0.0261511332665351,2.47019592918462
4982.89,12,338,3.69748129999058,1.07918124604762,2.52891670027765,-1.14136300743615,13.1413630074362,-0.0740070066822645,1.15318825272988,-7.40108720820126,345.401087208201,0.0178455040826952,2.51107119619495
4450.86,14,274,3.6484439339402,1.14612803567824,2.43775056282039,1.2094019100765,12.7905980899235,0.0118599783203042,1.13426805735794,-52.249826032888,326.249826032888,-0.0323785693846811,2.47012913220507
5490.74,20,569,3.73963087928783,1.30102999566398,2.75511226639507,6.52381383718013,13.4761861628199,0.131579077555003,1.16945091810898,205.318048953514,363.681951046486,0.208849727113667,2.54626253928140
7476.21,22,509,3.87368149181866,1.34242268082221,2.70671778233676,7.21480265214573,14.7851973478543,0.121250718475110,1.2211719623471,73.8479165817503,435.15208341825,0.0485342897463699,2.65818349259039
7138.82,15,682,3.85362643168653,1.17609125905568,2.83378437465648,0.437242318178841,14.5627576818212,-0.0373428150959924,1.21343407415167,258.992803163219,423.007196836781,0.192345165484719,2.64143920917176
9149.94,20,600,3.96141824622444,1.30102999566398,2.77815125038364,4.11132020681661,15.8886797931834,0.0460063673658053,1.25502362829817,104.599358479844,495.400641520156,0.0467149691044026,2.73143628127924
10133.07,22,978,4.00574104280032,1.34242268082221,2.9903388547876,5.46314714636097,16.5368528536390,0.0702978899170299,1.27212479090518,447.210039457823,530.789960542177,0.221896777321106,2.76844207746649
9287.69,21,363,3.96790771130242,1.32221929473392,2.55990662503611,5.02050226913007,15.9794977308699,0.0646918217755596,1.25752747295836,-137.359170601034,500.359170601034,-0.176947812149172,2.73685443718528
13729.13,15,1402,4.13764301734087,1.17609125905568,3.14674801363064,-3.90771857412576,18.9077185741258,-0.146925562340882,1.32301682139656,741.764173130554,660.235826869446,0.268178914323638,2.878569099307
20300.77,24,675,4.30751251083977,1.38021124171161,2.82930377283103,0.759629578191114,23.2403704218089,-0.00834670196772755,1.38855794367934,-221.792400728318,896.792400728318,-0.191092023807467,3.02039579663850
24712.72,25,1159,4.39292054855787,1.39794000867204,3.0640834359636,-1.14914864450300,26.149148644503,-0.0235711070496347,1.42151111572167,103.392482187263,1055.60751781274,-0.0276208673738979,3.0917043033375
27144.03,25,1062,4.43367432662628,1.39794000867204,3.02612451674545,-2.75210007881627,27.7521000788163,-0.039295227354285,1.43723523602633,-81.12636601331,1143.12636601331,-0.0996057533985053,3.12573027014396
26117.81,24,632,4.4169367581777,1.38021124171161,2.80071707828239,-3.07551798072061,27.0755179807206,-0.0505661012710073,1.43077734298262,-474.185954300944,1106.18595430094,-0.311038734143898,3.11175581242629