SPECIES,AREAM,RESID1,PREDICT1
3,0.0516,-3.8967993501,6.8967993501
7,0.046906,0.3191884701,6.6808115299
6,0.046225,-0.64829577162,6.6482957716
8,0.09386,-0.42031949347,8.4203194935
10,0.135715,0.47742113977,9.5225788602
9,0.177366,-1.4119892929,10.411989293
10,0.168601,-0.2374308733,10.237430873
11,0.178629,0.56333485259,10.436665147
16,0.309007,3.4695896331,12.530410367
9,0.398012,-4.6344561728,13.634456173
13,0.442484,-1.1248595576,14.124859558
14,0.445168,-0.1533846125,14.153384612
12,0.498289,-2.695783652,14.695783652
14,0.445086,-0.15251483138,14.152514831
20,0.549074,4.82061844,15.17938156
22,0.747621,5.1742632932,16.825736707
15,0.713882,-1.5685160165,16.568516016
20,0.914994,2.001200237,17.998799763
22,1.013307,3.3778478531,18.622152147
21,0.928769,2.9112537634,18.088746237
15,1.372913,-5.6078689619,20.607868962
24,2.030077,0.51976345256,23.480236547
25,2.471272,-0.072350596629,25.072350597
25,2.714403,-0.86966073904,25.869660739
24,2.611781,-1.5391823957,25.539182396
